company_name,Ratings,Rieview,Salaries,Interviews,Jobs,Company_Type,Company_location,Company_years,Company_emp,Company_Details,Discription
TCS,3.8,60.7k,849.9k,5.1k,45,Public,"Mumbai,Maharashtra + 280 more",55 years old,1 Lakh+ Employees (India),"Food Processing,Public,Bhopal","We ensure the highest levels of certainty and satisfaction through a deep-set commitment to our clients, comprehensive industry expertise and a global network of innovation and delivery centers. We function as a full stakeholder to business, offering a consulting-led approach with an integrated portfolio of technology led solutions that encompass the entire Enterprise value chain. Our Customer-centric Engagement Model defines how we do engage with you, offering specialized services and solutions that meet the distinct needs of your business. We build bespoke teams around your domain and technology requirements drawn from our talent pool of over 488,649 global professionals including 36.5% women from 154 nationalities. Our domain expertise has been built upon decades of experience working across industries and this knowledge underpins our suite of solutions. Our organization structure is domain led and empowered to help provide Customers a single window to industry specific solutions. Agile industry units have embedded capabilities to enable rapid responses that provide a competitive edge to our Customers. This is coupled with a unique Global Network Delivery Model&trade; (GNDM&trade;), spanning 40 global locations, that is today recognized as the benchmark of excellence in technology deployment. We have made significant investments in Digital platforms and products spanning Technology Products, Horizontal Platforms and Products, Vertical Platforms and Products."
Accenture,4.1,38.8k,555.1k,3.4k,11.3k,Public,Dublin + 139 more,34 years old,1 Lakh+ Employees (India),"Food Processing,Public,Bhopal","Accenture is a global professional services company with leading capabilities in digital, cloud, and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Interactive, Technology, and Operations services — all powered by the world’s largest network of Advanced Technology and Intelligent Operations centers. 

Our 674,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners, and communities. Visit us at accenture.com."
Cognizant,3.9,35.3k,559.8k,3k,445,Private,Teaneck. New Jersey. + 109 more,29 years old,1 Lakh+ Employees (India),"Food Processing,Public,Bhopal","At Cognizant, we give organizations the insights to anticipate what customers want and act instantly to deliver on those demands. So they can achieve the goal of every modern business: staying one step ahead of a fast-changing world."
Wipro,3.9,28.8k,411.1k,3k,415,Public,"Bangalore/Bengaluru,Karnataka + 235 more",78 years old,1 Lakh+ Employees (India),"Food Processing,Public,Bhopal","Wipro Limited (NYSE: WIT, BSE: 507685, NSE: WIPRO) is a leading global information technology, consulting, and business process services company.

We harness the power of cognitive computing, hyper-automation, robotics, cloud, analytics, and emerging technologies to help our clients adapt to the digital world and make them successful.

A company recognized globally for its comprehensive portfolio of services, a strong commitment to sustainability, and good corporate citizenship, we have over 243,000 dedicated employees serving clients across six continents.

Together, we discover ideas and connect the dots to build a better and bold new future."
ICICI Bank,4.0,28.8k,215.9k,1.6k,208,Public,"Mumbai,Maharashtra + 1170 more",29 years old,1 Lakh+ Employees (India),"Food Processing,Public,Bhopal","ICICI Bank is a leading private sector bank in India. The Bank’s consolidated total assets stood at Rs. 14.76 trillion at September 30, 2020.  ICICI Bank currently has a network of 5,288 branches and 13,875 ATMs across India."
HDFC Bank,3.9,28.1k,210.5k,1.3k,355,Public,"Mumbai,Maharashtra + 1395 more",29 years old,1 Lakh+ Employees (India),"Food Processing,Public,Bhopal","The Housing Development Finance Corporation Limited or HDFC was among the first financial institutions in India to receive an “in principle” approval from the Reserve Bank of India (RBI) to set up a bank in the private sector. This was done as part of RBI’s policy for the liberalization of the Indian banking industry in 1994.

HDFC Bank was incorporated in August 1994 in the name of HDFC Bank Limited, with its registered office in Mumbai, India. The bank commenced operations as a Scheduled Commercial Bank in January 1995. As of March 31, 2021, the Bank had a nationwide distribution network of 5,608 branches and 16,087 ATMs in 2,902 cities/towns."
Infosys,3.9,26.5k,482.7k,4.2k,1k,Public,"Bengaluru/Bangalore,Karnataka + 134 more",42 years old,1 Lakh+ Employees (India),"Food Processing,Public,Bhopal","Infosys is a global leader in next-generation digital services and consulting. Over 300,000 of our people work to amplify human potential and create the next opportunity for people, businesses, and communities. <br /><br />We enable clients in more than 56 countries to navigate their digital transformation. With over four decades of experience in managing the systems and workings of global enterprises, we expertly steer clients, as they navigate their digital transformation powered by cloud and AI. <br /><br />We enable them with an AI-first core, empower the business with agile digital at scale and drive continuous improvement with always-on learning through the transfer of digital skills, expertise, and ideas from our innovation ecosystem. <br /><br />We are deeply committed to being a well-governed, environmentally sustainable organization where diverse talent thrives in an inclusive workplace. <br /><br />Visit www.infosys.com to see how Infosys (NSE, BSE, NYSE: INFY) can help your enterprise navigate your next."
Capgemini,3.9,24.5k,365.8k,2.1k,772,Public,Paris + 83 more,56 years old,1 Lakh+ Employees (India),"Food Processing,Public,Bhopal","Capgemini is a global leader in partnering with companies to transform and manage their business by harnessing the power of technology. The Group is guided every day by its purpose of unleashing human energy through technology for an inclusive and sustainable future.<br /><br />It is a responsible and diverse organization of over 360,000 team members in more than 50 countries. With its strong 55-year heritage and deep industry expertise, Capgemini is trusted by its clients to address the entire breadth of their business needs, from strategy and design to operations, fueled by the fast-evolving and innovative world of cloud, data, AI, connectivity, software, digital engineering and platforms. <br /><br />The Group reported 2022 global revenues of &euro;22 billion.<br /><br />Get the Future You Want | www.capgemini.com/in-en"
Tech Mahindra,3.7,23.1k,261.8k,2k,1.3k,Public,"Pune,Maharashtra + 222 more",37 years old,1 Lakh+ Employees (India),"Food Processing,Public,Bhopal","Tech Mahindra offers innovative and customer-centric digital experiences, enabling enterprises, associates, and society to rise. We are a USD 5.1 billion organization with 141,100+ professionals across 90 countries helping 1123 global customers, including Fortune 500 companies. 

We are focused on leveraging next-generation technologies including 5G, Blockchain, Cybersecurity, Artificial Intelligence, and more, to enable end-to-end digital transformation for global customers. Tech Mahindra is one of the fastest-growing brands and amongst the top 15 IT service providers globally. 

Tech Mahindra has consistently emerged as a leader in sustainability and is recognized amongst the ‘2021 Global 100 Most sustainable corporations in the World’ by Corporate Knights. With the NXT.NOW™ framework, Tech Mahindra aims to enhance ‘Human Centric Experience’ for our ecosystem and drive collaborative disruption with synergies arising from a robust portfolio of companies. 

Tech Mahindra aims at delivering tomorrow’s experiences today and believes that the ‘Future is Now.

We are part of the Mahindra Group, founded in 1945, one of the largest and most admired multinational federations of companies with 260,000 employees in over 100 countries. It enjoys a leadership position in farm equipment, utility vehicles, information technology, and financial services in India and is the world’s largest tractor company by volume. It has a strong presence in renewable energy, agriculture, logistics, hospitality, and real estate. 

The Mahindra Group has a clear focus on leading ESG globally, enabling rural prosperity and enhancing urban living, with a goal to drive positive change in the lives of communities and stakeholders to enable them to rise."
Genpact,4.0,22.3k,193.5k,1.6k,1k,Public,"New York,New York + 76 more",26 years old,50k-1 Lakh Employees (India),"Food Processing,Public,Bhopal","Genpact (NYSE: G) is a global professional services firm delivering business outcomes that transform industries and shape the future. Fusing real-world expertise and collaborative innovation, we make businesses work better – breaking down boundaries, creating simplicity from complexity, and building ecosystems of impact. 

Guided by our experience reinventing and running thousands of processes for hundreds of companies, our Global Fortune 500 clients come to us for digital-led innovation and digitally-enabled operations that dig deep into data to turn insight into action. 

And we do it all with purpose. From New York to New Delhi and more than 30 countries in between, our 100,000+ team is passionate about our relentless pursuit of a world that works better for people.

Genpact began in 1997 as a business unit within General Electric. Then, in January 2005, we became an independent company, bringing our process expertise and unique DNA in Lean management to more companies. 

We became a publicly traded company in 2007. Since December 31, 2005, we have expanded from 19,000+ employees and annual revenues of $491.90 million to 100,000+ employees and annual revenues of $4.0 billion as of December 31, 2021."
